property_address,property_ward,violation_fire_code,violation_description,number_of_violations
99 Avenue Rd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),5
99 Avenue Rd,NA,1.1.2.1./6.5.5.5.,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test),5
99 Avenue Rd,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),5
99 Avenue Rd,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),5
99 Avenue Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,5
77 McMurrich St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),24
77 McMurrich St,NA,6.3.1.2,6.3.1.2 Monitoring,24
980 Yonge St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),22
980 Yonge St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),22
980 Yonge St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),22
980 Yonge St,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),22
980 Yonge St,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),22
980 Yonge St,NA,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),22
980 Yonge St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),22
980 Yonge St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),22
980 Yonge St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),22
980 Yonge St,NA,2.16.2.1,2.16.2.1 Installation requirements,22
980 Yonge St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,22
8 Sultan St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",15
8 Sultan St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),15
8 Sultan St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),15
8 Sultan St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),15
8 Sultan St,NA,6.3.1.2,6.3.1.2 Monitoring,15
825 Church St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",6
825 Church St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),6
825 Church St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),6
825 Church St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),6
825 Church St,NA,6.3.1.2,6.3.1.2 Monitoring,6
800 Lansdowne Ave,9,1.1.2.3,1.1.2.3  (Do Not Use),3
800 Lansdowne Ave,9,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,3
220 Oak St,NA,6.4.1.2,6.4.1.2 Testing,11
1680 Ellesmere Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,4
1680 Ellesmere Rd,NA,2.2.3.3,2.2.3.3 Operation of closures,4
1680 Ellesmere Rd,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,4
1680 Ellesmere Rd,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,4
4 K Spadina Ave,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,14
17 Bathurst St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,1
10 Boultbee Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
80 Blake St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,8
80 Blake St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,8
80 Blake St,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,8
80 Blake St,NA,9.6.3.6,9.6.3.6 Exit signs,8
717 Broadview Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,8
717 Broadview Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,8
1201 Dundas St E,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),15
1201 Dundas St E,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),15
1201 Dundas St E,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),15
1201 Dundas St E,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),15
1201 Dundas St E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
1201 Dundas St E,NA,6.5.1.5,6.5.1.5 Obstructions,15
39 Brant St,NA,1.1.2.1,1.1.2.1 Records to be prepared,1
111 St George St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),6
111 St George St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
111 St George St,NA,6.4.1.6,"6.4.1.6 Inspection, testing and maintenance",6
111 St George St,NA,CH 470 - S.7,CH 470 - S.7,6
335 Van Horne Ave,NA,2.2.2.1,2.2.2.1 Damaged fire separations,11
1441 Lawrence Ave E,NA,2.2.3.1,2.2.3.1 Damaged closures,29
1441 Lawrence Ave E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,29
1441 Lawrence Ave E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,29
1441 Lawrence Ave E,NA,2.4.1.5,2.4.1.5 Lint traps for laundry equipment,29
1441 Lawrence Ave E,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,29
1441 Lawrence Ave E,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,29
1441 Lawrence Ave E,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,29
1441 Lawrence Ave E,NA,2.8.1.2,2.8.1.2 Instructions in emergency procedures,29
1441 Lawrence Ave E,NA,2.8.3.2,2.8.3.2 Frequency,29
1441 Lawrence Ave E,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,29
1441 Lawrence Ave E,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",29
11 Shallmar Blvd,8,2.2.2.1,2.2.2.1 Damaged fire separations,12
11 Shallmar Blvd,8,2.2.3.1,2.2.3.1 Damaged closures,12
11 Shallmar Blvd,8,2.2.3.2,2.2.3.2 Maintenance of closures,12
11 Shallmar Blvd,8,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,12
11 Shallmar Blvd,8,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",12
11 Shallmar Blvd,8,6.5.1.5 (1),6.5.1.5 (1) Obstructions,12
11 Shallmar Blvd,8,9.6.2.6,9.6.2.6 Protection of openings in fire separations,12
1 Lee Centre Dr,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),10
1 Lee Centre Dr,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),10
1 Lee Centre Dr,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),10
1 Lee Centre Dr,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),10
1 Lee Centre Dr,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),10
1 Lee Centre Dr,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),10
1 Lee Centre Dr,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),10
1 Lee Centre Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,10
1 Lee Centre Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,10
1 Lee Centre Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,10
55 Smooth Rose Crt,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",20
55 Smooth Rose Crt,NA,2.2.3.3,2.2.3.3 Operation of closures,20
65 Silver Springs Blvd,NA,2.5.1.2. (1),B.2.5.1.2.(1)  FIRE DEPARTMENT ACCESS TO BUILDINGS,11
65 Silver Springs Blvd,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,11
14 William Morgan Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,4
14 William Morgan Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,4
14 William Morgan Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,4
14 William Morgan Dr,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,4
43 Thorncliffe Park Dr,NA,1.1.2.2,1.1.2.2 Retention of records,20
43 Thorncliffe Park Dr,NA,2.16.2.1,2.16.2.1 Installation requirements,20
43 Thorncliffe Park Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,20
43 Thorncliffe Park Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,20
43 Thorncliffe Park Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,20
43 Thorncliffe Park Dr,NA,2.4.1.3,2.4.1.3 Waste receptacles,20
43 Thorncliffe Park Dr,NA,6.2.1.2,6.2.1.2 Maintenance,20
43 Thorncliffe Park Dr,NA,6.2.7.2,6.2.7.2 Examination,20
43 Thorncliffe Park Dr,NA,6.2.7.6,6.2.7.6 Maintenance after use,20
43 Thorncliffe Park Dr,NA,6.3.4.7,6.3.4.7 Replacement in certain buildings,20
43 Thorncliffe Park Dr,NA,6.5.1.5,6.5.1.5 Obstructions,20
43 Thorncliffe Park Dr,NA,9.6.3.6,9.6.3.6 Exit signs,20
365 Eglinton Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,3
365 Eglinton Ave E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,3
365 Eglinton Ave E,NA,6.4.3.7,6.4.3.7. Fire Department Connections,3
440 Eglinton Ave E,NA,2.2.2.1,2.2.2.1 Damaged fire separations,5
440 Eglinton Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,5
440 Eglinton Ave E,NA,2.7.3.3,2.7.3.3 Emergency lighting,5
440 Eglinton Ave E,NA,6.5.1.5,6.5.1.5 Obstructions,5
440 Eglinton Ave E,NA,9.6.3.6,9.6.3.6 Exit signs,5
801 Mount Pleasant Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,3
9 Bogert Ave,NA,6.3.1.8,6.3.1.8 Repairs and alterations to fire alarm systems,9
9 Bogert Ave,NA,6.4.1.6,"6.4.1.6 Inspection, testing and maintenance",9
99 Cameron St,NA,2.7.3.2,2.7.3.2 Exit Signs,6
29 Camden St,NA,1.1.2.1,1.1.2.1 Records to be prepared,16
29 Camden St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),16
29 Camden St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),16
29 Camden St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),16
29 Camden St,NA,6.3.1.2,6.3.1.2 Monitoring,16
289 The Kingsway,2,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),8
289 The Kingsway,2,6.3.1.2,6.3.1.2 Monitoring,8
289 The Kingsway,2,6.3.3.8,6.3.3.8 Testing,8
530 Scarlett Rd,2,2.5.1.2. (2),B.2.5.1.2.(2) FIRE DEPARTMENT ACCESS STANDPIPE/SPRINKLER,9
695 Martin Grove Rd,2,2.2.2.1,2.2.2.1 Damaged fire separations,11
695 Martin Grove Rd,2,2.2.3.2,2.2.3.2 Maintenance of closures,11
14 Neilson Dr,2,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),17
14 Neilson Dr,2,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),17
14 Neilson Dr,2,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),17
14 Neilson Dr,2,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),17
14 Neilson Dr,2,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),17
14 Neilson Dr,2,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),17
14 Neilson Dr,2,2.2.2.1,2.2.2.1 Damaged fire separations,17
14 Neilson Dr,2,2.2.3.2,2.2.3.2 Maintenance of closures,17
14 Neilson Dr,2,6.3.1.2,6.3.1.2 Monitoring,17
301 Dixon Rd,2,1.1.2.1,1.1.2.1 Records to be prepared,10
301 Dixon Rd,2,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),10
301 Dixon Rd,2,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),10
301 Dixon Rd,2,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),10
301 Dixon Rd,2,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),10
301 Dixon Rd,2,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),10
301 Dixon Rd,2,1.1.2.3./6.4.3.5.,1.1.2.3./6.4.3.5. Records of Test (Flow and Pressure Tests),10
301 Dixon Rd,2,2.2.2.1,2.2.2.1 Damaged fire separations,10
40 Godstone Rd,NA,1.1.2.1,1.1.2.1 Records to be prepared,11
40 Godstone Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
40 Godstone Rd,NA,CH 470 - S.6,CH 470 - S.6,11
10 Grenoble Dr,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",38
10 Grenoble Dr,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),38
10 Grenoble Dr,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),38
10 Grenoble Dr,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),38
10 Grenoble Dr,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),38
10 Grenoble Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,38
10 Grenoble Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,38
10 Grenoble Dr,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,38
10 Grenoble Dr,NA,2.8.2.5 (3),2.8.2.5 (3) Posting fire emergency procedures,38
10 Grenoble Dr,NA,2.8.3.4,2.8.3.4 Records,38
10 Grenoble Dr,NA,6.3.1.2,6.3.1.2 Monitoring,38
10 Grenoble Dr,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,38
10 Grenoble Dr,NA,6.4.2.6. (1),B.6.4.2.6.(1) STANDPIPE IDENTIFICATION,38
18 Hillcrest Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),12
18 Hillcrest Ave,NA,1.1.2.1./6.8.2.2.,1.1.2.1./6.8.2.2. Records of Test (Extinguishing Systems),12
18 Hillcrest Ave,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),12
18 Hillcrest Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,12
18 Hillcrest Ave,NA,2.2.3.3,2.2.3.3 Operation of closures,12
18 Hillcrest Ave,NA,6.5.1.5,6.5.1.5 Obstructions,12
10 Tangreen Crt,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",8
10 Tangreen Crt,NA,2.2.3.2,2.2.3.2 Maintenance of closures,8
10 Tangreen Crt,NA,2.7.3.2,2.7.3.2 Exit Signs,8
10 Tangreen Crt,NA,3.3.1.4,3.3.1.4 Pile clearance,8
10 Tangreen Crt,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,8
10 Tangreen Crt,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,8
5418 Yonge St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",15
5418 Yonge St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),15
5418 Yonge St,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),15
5418 Yonge St,NA,1.1.2.3,1.1.2.3  (Do Not Use),15
5418 Yonge St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,15
5418 Yonge St,NA,2.2.3.1,2.2.3.1 Damaged closures,15
5418 Yonge St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
5418 Yonge St,NA,6.3.1.1,6.3.1.1 Access,15
5418 Yonge St,NA,6.5.1.5,6.5.1.5 Obstructions,15
18 Harrison Garden Blvd,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",5
18 Harrison Garden Blvd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,5
18 Harrison Garden Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,5
18 Harrison Garden Blvd,NA,2.2.3.3,2.2.3.3 Operation of closures,5
18 Harrison Garden Blvd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,5
2 Clairtrell Rd,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),9
2 Clairtrell Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
2 Clairtrell Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,9
2 Clairtrell Rd,NA,6.2.1.2,6.2.1.2 Maintenance,9
2 Clairtrell Rd,NA,6.2.7.3,6.2.7.3 Defective extinguishers,9
2 Clairtrell Rd,NA,6.3.1.2,6.3.1.2 Monitoring,9
2 Clairtrell Rd,NA,6.3.1.2,6.3.1.2 Monitoring,9
2 Clairtrell Rd,NA,6.5.1.5,6.5.1.5 Obstructions,9
2 Clairtrell Rd,NA,7.3.1.3,7.3.1.3 Maintenance of certain fire emergency systems,9
8 McKee Ave,NA,2.2.2.1,2.2.2.1 Damaged fire separations,8
8 McKee Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,8
8 McKee Ave,NA,2.7.3.1,2.7.3.1 Exit signs,8
8 McKee Ave,NA,2.7.3.2,2.7.3.2 Exit Signs,8
100 Harrison Garden Blvd,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),11
100 Harrison Garden Blvd,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),11
100 Harrison Garden Blvd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,11
100 Harrison Garden Blvd,NA,2.2.3.1,2.2.3.1 Damaged closures,11
100 Harrison Garden Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
100 Harrison Garden Blvd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,11
100 Harrison Garden Blvd,NA,2.7.2.1,2.7.2.1 Door release hardware,11
100 Harrison Garden Blvd,NA,2.8.3.4,2.8.3.4 Records,11
100 Harrison Garden Blvd,NA,6.5.1.5,6.5.1.5 Obstructions,11
100 Harrison Garden Blvd,NA,7.3.1.3,7.3.1.3 Maintenance of certain fire emergency systems,11
100 Harrison Garden Blvd,NA,FPPA - S.30,S.30 - INSPECTION ORDER,11
35 Greenfield Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",20
35 Greenfield Ave,NA,1.1.2.1,1.1.2.1 Records to be prepared,20
35 Greenfield Ave,NA,1.1.2.1,1.1.2.1 Records to be prepared,20
35 Greenfield Ave,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),20
35 Greenfield Ave,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),20
35 Greenfield Ave,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),20
35 Greenfield Ave,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),20
35 Greenfield Ave,NA,1.1.2.1./6.5.5.5.,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test),20
35 Greenfield Ave,NA,1.1.2.1./6.5.5.7.,1.1.2.1./6.5.5.7. Records of Test (Electrical Supervision),20
35 Greenfield Ave,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),20
35 Greenfield Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),20
35 Greenfield Ave,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),20
35 Greenfield Ave,NA,2.2.2.1,2.2.2.1 Damaged fire separations,20
35 Greenfield Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,20
35 Greenfield Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,20
35 Greenfield Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,20
35 Greenfield Ave,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,20
35 Greenfield Ave,NA,2.8.2.4,2.8.2.4 High buildings,20
35 Greenfield Ave,NA,6.5.3.4,6.5.3.4 Sprinkler heads,20
35 Greenfield Ave,NA,6.5.4.4,6.5.4.4 Fire department connections,20
16 Harrison Garden Blvd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,6
16 Harrison Garden Blvd,NA,2.2.3.1,2.2.3.1 Damaged closures,6
16 Harrison Garden Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
16 Harrison Garden Blvd,NA,2.2.3.3,2.2.3.3 Operation of closures,6
16 Harrison Garden Blvd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,6
16 Harrison Garden Blvd,NA,2.7.3.2,2.7.3.2 Exit Signs,6
18 Spring Garden Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),6
18 Spring Garden Ave,NA,1.1.2.3,1.1.2.3  (Do Not Use),6
18 Spring Garden Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,6
18 Spring Garden Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
18 Spring Garden Ave,NA,2.2.3.3,2.2.3.3 Operation of closures,6
18 Spring Garden Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,6
5949 Yonge St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",13
5949 Yonge St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,13
5949 Yonge St,NA,2.2.3.1,2.2.3.1 Damaged closures,13
5949 Yonge St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,13
5949 Yonge St,NA,2.2.3.3,2.2.3.3 Operation of closures,13
5949 Yonge St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,13
5949 Yonge St,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,13
5949 Yonge St,NA,6.5.1.5,6.5.1.5 Obstructions,13
5949 Yonge St,NA,9.6.4.2,9.6.4.2 Automatic detection,13
205 Hilda Ave,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),16
205 Hilda Ave,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),16
205 Hilda Ave,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),16
205 Hilda Ave,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),16
205 Hilda Ave,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),16
205 Hilda Ave,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),16
205 Hilda Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),16
205 Hilda Ave,NA,2.2.2.1,2.2.2.1 Damaged fire separations,16
205 Hilda Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,16
205 Hilda Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,16
205 Hilda Ave,NA,2.2.3.3,2.2.3.3 Operation of closures,16
205 Hilda Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,16
205 Hilda Ave,NA,2.7.3.2,2.7.3.2 Exit Signs,16
205 Hilda Ave,NA,6.3.1.8,6.3.1.8 Repairs and alterations to fire alarm systems,16
205 Hilda Ave,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,16
205 Hilda Ave,NA,9.6.3.9,9.6.3.9 Emergency lighting,16
10 Northtown Way,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),19
10 Northtown Way,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),19
10 Northtown Way,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),19
10 Northtown Way,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),19
10 Northtown Way,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),19
10 Northtown Way,NA,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),19
10 Northtown Way,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),19
10 Northtown Way,NA,1.1.2.1./6.5.5.4.,1.1.2.1./6.5.5.4. Records of Test (Dry Pipe Trip Test),19
10 Northtown Way,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),19
10 Northtown Way,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),19
10 Northtown Way,NA,1.1.2.1./7.3.1.2.,1.1.2.1./7.3.1.2. Records of Test (Smoke Control),19
10 Northtown Way,NA,2.2.2.1,2.2.2.1 Damaged fire separations,19
10 Northtown Way,NA,2.2.3.2,2.2.3.2 Maintenance of closures,19
10 Northtown Way,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,19
10 Northtown Way,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,19
10 Northtown Way,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,19
10 Northtown Way,NA,9.6.3.6,9.6.3.6 Exit signs,19
1201 Steeles Ave W,6,9.6.2.1,9.6.2.1 Construction,14
1201 Steeles Ave W,6,9.6.2.6,9.6.2.6 Protection of openings in fire separations,14
1201 Steeles Ave W,6,9.6.3.5,9.6.3.5 Door swing,14
1201 Steeles Ave W,6,9.6.4.2,9.6.4.2 Automatic detection,14
399 Spring Garden Ave,NA,2.2.2.1,2.2.2.1 Damaged fire separations,3
